empresaCNPJ;codigoConta;saldoDia;dataBase
CNPJ1___;1844500002;1997148,37;04/02/2026
CNPJ1___;1844510009;1147268,3;04/02/2026
CNPJ1___;1844515004;3956023,77;04/02/2026
CNPJ1___;1844520006;1657967,78;04/02/2026
CNPJ1___;1989045006;4173720,9;04/02/2026
CNPJ1___;3044500006;3904583,67;04/02/2026
CNPJ1___;3044600009;788184,29;04/02/2026
CNPJ1___;3044610006;726124,94;04/02/2026
CNPJ1___;3044615001;2821811,5;04/02/2026
CNPJ1___;3044620003;2267784,69;04/02/2026
CNPJ1___;3044700002;1876150,06;04/02/2026
CNPJ1___;3044710009;2348095,11;04/02/2026
CNPJ1___;3044720006;2291668,7;04/02/2026
CNPJ1___;3046020003;1388620,48;04/02/2026
CNPJ2___;1844500002;312406,74;04/02/2026
CNPJ2___;1844510009;413175,39;04/02/2026
CNPJ2___;1844515004;355571,63;04/02/2026
CNPJ2___;1844520006;96919,16;04/02/2026
CNPJ2___;1989045006;134632,97;04/02/2026
CNPJ2___;3044500006;417881,61;04/02/2026
CNPJ2___;3044600009;95010,93;04/02/2026
CNPJ2___;3044610006;243134,08;04/02/2026
CNPJ2___;3044615001;197870,11;04/02/2026
CNPJ2___;3044620003;200593,99;04/02/2026
CNPJ2___;3044700002;193643,82;04/02/2026
CNPJ2___;3044710009;271139,26;04/02/2026
CNPJ2___;3044720006;275603,74;04/02/2026
CNPJ2___;3046020003;177366,64;04/02/2026
CNPJ3___;1844500002;326929,71;04/02/2026
CNPJ3___;1844510009;114396,76;04/02/2026
CNPJ3___;1844515004;339609,86;04/02/2026
CNPJ3___;1844520006;358605,67;04/02/2026
CNPJ3___;1989045006;341472,63;04/02/2026
CNPJ3___;3044500006;452391,72;04/02/2026
CNPJ3___;3044600009;378737,05;04/02/2026
CNPJ3___;3044610006;123098,92;04/02/2026
CNPJ3___;3044615001;381947,54;04/02/2026
CNPJ3___;3044620003;88414,42;04/02/2026
CNPJ3___;3044700002;51502,57;04/02/2026
CNPJ3___;3044710009;73250,41;04/02/2026
CNPJ3___;3044720006;380901,5;04/02/2026
CNPJ3___;3046020003;467615,1;04/02/2026
CNPJ4___;1844500002;301897,25;04/02/2026
CNPJ4___;1844510009;387446,54;04/02/2026
CNPJ4___;1844515004;201277,44;04/02/2026
CNPJ4___;1844520006;193732,7;04/02/2026
CNPJ4___;1989045006;445269,9;04/02/2026
CNPJ4___;3044500006;137991,27;04/02/2026
CNPJ4___;3044600009;402727,88;04/02/2026
CNPJ4___;3044610006;273512,16;04/02/2026
CNPJ4___;3044615001;456881,75;04/02/2026
CNPJ4___;3044620003;86554,88;04/02/2026
CNPJ4___;3044700002;105991,1;04/02/2026
CNPJ4___;3044710009;141371,73;04/02/2026
CNPJ4___;3044720006;359736,53;04/02/2026
CNPJ4___;3046020003;454014,73;04/02/2026
CNPJ5___;1844500002;34139,61;04/02/2026
CNPJ5___;1844510009;31184,72;04/02/2026
CNPJ5___;1844515004;10622,23;04/02/2026
CNPJ5___;1844520006;8123,15;04/02/2026
CNPJ5___;1989045006;15560,32;04/02/2026
CNPJ5___;3044500006;4365,9;04/02/2026
CNPJ5___;3044600009;16950,02;04/02/2026
CNPJ5___;3044610006;38289,62;04/02/2026
CNPJ5___;3044615001;37509,44;04/02/2026
CNPJ5___;3044620003;10215,2;04/02/2026
CNPJ5___;3044700002;43686,17;04/02/2026
CNPJ5___;3044710009;45358,67;04/02/2026
CNPJ5___;3044720006;29232,1;04/02/2026
CNPJ5___;3046020003;44990,84;04/02/2026
CNPJ6___;1844500002;282609,38;04/02/2026
CNPJ6___;1844510009;147462,8;04/02/2026
CNPJ6___;1844515004;455573,09;04/02/2026
CNPJ6___;1844520006;115813,96;04/02/2026
CNPJ6___;1989045006;300067,57;04/02/2026
CNPJ6___;3044500006;475449,74;04/02/2026
CNPJ6___;3044600009;140942,99;04/02/2026
CNPJ6___;3044610006;223301,52;04/02/2026
CNPJ6___;3044615001;158217,15;04/02/2026
CNPJ6___;3044620003;233968,19;04/02/2026
CNPJ6___;3044700002;168877,1;04/02/2026
CNPJ6___;3044710009;235866,62;04/02/2026
CNPJ6___;3044720006;235517,92;04/02/2026
CNPJ6___;3046020003;164749,27;04/02/2026
CNPJ7___;1844500002;309921,25;04/02/2026
CNPJ7___;1844510009;211679,37;04/02/2026
CNPJ7___;1844515004;370946,67;04/02/2026
CNPJ7___;1844520006;109089,26;04/02/2026
CNPJ7___;1989045006;323449,46;04/02/2026
CNPJ7___;3044500006;462589,86;04/02/2026
CNPJ7___;3044600009;329292,69;04/02/2026
CNPJ7___;3044610006;192946,39;04/02/2026
CNPJ7___;3044615001;88207,98;04/02/2026
CNPJ7___;3044620003;314843,63;04/02/2026
CNPJ7___;3044700002;386784,18;04/02/2026
CNPJ7___;3044710009;112854,32;04/02/2026
CNPJ7___;3044720006;153065,03;04/02/2026
CNPJ7___;3046020003;57638,45;04/02/2026
CNPJ8___;1844500002;116996,69;04/02/2026
CNPJ8___;1844510009;229572,48;04/02/2026
CNPJ8___;1844515004;160071,33;04/02/2026
CNPJ8___;1844520006;380552,38;04/02/2026
CNPJ8___;1989045006;492508,51;04/02/2026
CNPJ8___;3044500006;141915,01;04/02/2026
CNPJ8___;3044600009;52922,99;04/02/2026
CNPJ8___;3044610006;436007,28;04/02/2026
CNPJ8___;3044615001;195548,82;04/02/2026
CNPJ8___;3044620003;251296,8;04/02/2026
CNPJ8___;3044700002;214600,68;04/02/2026
CNPJ8___;3044710009;297053,31;04/02/2026
CNPJ8___;3044720006;386345,05;04/02/2026
CNPJ8___;3046020003;378809,41;04/02/2026
CNPJ9___;1844500002;23674,36;04/02/2026
CNPJ9___;1844510009;43843,37;04/02/2026
CNPJ9___;1844515004;39659,76;04/02/2026
CNPJ9___;1844520006;26477,74;04/02/2026
CNPJ9___;1989045006;38920,42;04/02/2026
CNPJ9___;3044500006;38545,18;04/02/2026
CNPJ9___;3044600009;34708,99;04/02/2026
CNPJ9___;3044610006;42404,52;04/02/2026
CNPJ9___;3044615001;13778,24;04/02/2026
CNPJ9___;3044620003;19949,44;04/02/2026
CNPJ9___;3044700002;32856,77;04/02/2026
CNPJ9___;3044710009;7505,76;04/02/2026
CNPJ9___;3044720006;49754,81;04/02/2026
CNPJ9___;3046020003;8008,19;04/02/2026
CNPJ10___;1844500002;18522,33;04/02/2026
