empresaCNPJ;clienteId;tipoCliente;ticker;tickerID;DLT;DLTID;quantidade;valor;psavCustodiante;psavCustodiantePais;dataBase
CNPJ14___;CLIENTE177;2;ADA;tickerID_exemplo;DLT_exemplo;DLTID_exemplo;3,90755885;185345,28;Z1234567;BR;04/02/2026
CNPJ45___;CLIENTE47;2;ADA;tickerID_exemplo;DLT_exemplo;DLTID_exemplo;9,83373102;156790,77;Z1234567;BR;04/02/2026
CNPJ44___;CLIENTE27;2;USDT;tickerID_exemplo;DLT_exemplo;DLTID_exemplo;9,3562954;368619,34;Z1234567;BR;04/02/2026
CNPJ31___;CLIENTE156;2;BTC;tickerID_exemplo;DLT_exemplo;DLTID_exemplo;0,79029755;474365,46;Z1234567;BR;04/02/2026
CNPJ42___;CLIENTE186;2;ETH;tickerID_exemplo;DLT_exemplo;DLTID_exemplo;1,54311492;142981,8;Z1234567;BR;04/02/2026
CNPJ20___;CLIENTE77;2;ETH;tickerID_exemplo;DLT_exemplo;DLTID_exemplo;1,47257815;174289,9;Z1234567;BR;04/02/2026
CNPJ10___;CLIENTE5;1;ADA;tickerID_exemplo;DLT_exemplo;DLTID_exemplo;4,52256788;84656,08;Z1234567;BR;04/02/2026
CNPJ38___;CLIENTE24;1;ADA;tickerID_exemplo;DLT_exemplo;DLTID_exemplo;3,97879342;195664,07;Z1234567;BR;04/02/2026
CNPJ15___;CLIENTE181;2;ETH;tickerID_exemplo;DLT_exemplo;DLTID_exemplo;9,65182244;324666,04;Z1234567;BR;04/02/2026
CNPJ45___;CLIENTE178;2;SOL;tickerID_exemplo;DLT_exemplo;DLTID_exemplo;8,07564679;334707,93;Z1234567;BR;04/02/2026
CNPJ9___;CLIENTE125;2;XRP;tickerID_exemplo;DLT_exemplo;DLTID_exemplo;4,81303007;9070,67;Z1234567;BR;04/02/2026
CNPJ26___;CLIENTE141;2;BTC;tickerID_exemplo;DLT_exemplo;DLTID_exemplo;6,09535119;127767,69;Z1234567;BR;04/02/2026
CNPJ40___;CLIENTE104;2;USDT;tickerID_exemplo;DLT_exemplo;DLTID_exemplo;0,56233556;28203,65;Z1234567;BR;04/02/2026
CNPJ37___;CLIENTE76;1;SOL;tickerID_exemplo;DLT_exemplo;DLTID_exemplo;0,28853028;63758,97;Z1234567;BR;04/02/2026
CNPJ30___;CLIENTE197;2;XRP;tickerID_exemplo;DLT_exemplo;DLTID_exemplo;7,21004821;491784,56;Z1234567;BR;04/02/2026
CNPJ20___;CLIENTE92;1;USDT;tickerID_exemplo;DLT_exemplo;DLTID_exemplo;1,80206084;347108,46;Z1234567;BR;04/02/2026
CNPJ31___;CLIENTE68;1;USDT;tickerID_exemplo;DLT_exemplo;DLTID_exemplo;3,27015261;5889,55;Z1234567;BR;04/02/2026
CNPJ22___;CLIENTE149;2;SOL;tickerID_exemplo;DLT_exemplo;DLTID_exemplo;6,62506596;444662,51;Z1234567;BR;04/02/2026
CNPJ48___;CLIENTE13;1;ADA;tickerID_exemplo;DLT_exemplo;DLTID_exemplo;7,30239148;51139,73;Z1234567;BR;04/02/2026
